Age,Fare,Parch,PassengerId,Sex,SibSp,Survived,FamilySize,Pclass_1,Pclass_2,Pclass_3,Title_Master,Title_Miss,Title_Mr,Title_Mrs,Title_Officer,Title_Royalty,Cabin_A,Cabin_B,Cabin_C,Cabin_D,Cabin_E,Cabin_F,Cabin_G,Cabin_T,Cabin_U,Embarked_C,Embarked_Q,Embarked_S
22.0,7.25,0,1,0,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
38.0,71.2833,0,2,1,1,1,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
26.0,7.925,0,3,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
35.0,53.1,0,4,1,1,1,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
35.0,8.05,0,5,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
26.0,8.4583,0,6,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
54.0,51.8625,0,7,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2.0,21.075,1,8,0,3,0,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
27.0,11.1333,2,9,1,0,1,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
14.0,30.0708,0,10,1,1,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
4.0,16.7,1,11,1,1,1,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
58.0,26.55,0,12,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
20.0,8.05,0,13,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
39.0,31.275,5,14,0,1,0,7,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
14.0,7.8542,0,15,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
55.0,16.0,0,16,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2.0,29.125,1,17,0,4,0,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
30.0,13.0,0,18,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
31.0,18.0,0,19,1,1,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
31.0,7.225,0,20,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
35.0,26.0,0,21,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
34.0,13.0,0,22,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
15.0,8.0292,0,23,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
28.0,35.5,0,24,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
8.0,21.075,1,25,1,3,0,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
38.0,31.3875,5,26,1,1,1,7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
26.0,7.225,0,27,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
